Région,Date,Cas-confirmés
Total Métropole,2020-03-16,6573
Guadeloupe,2020-03-16,18
Saint-Barthélémy,2020-03-16,3
Saint-Martin,2020-03-16,2
Guyane,2020-03-16,11
Martinique,2020-03-16,16
Mayotte,2020-03-16,1
La Réunion,2020-03-16,9
Total Outre Mer,2020-03-16,60
Auvergne-Rhône-Alpes,2020-03-17,710
Bourgogne-Franche-Comté,2020-03-17,549
Bretagne,2020-03-17,247
Centre-Val de Loire,2020-03-17,103
Corse,2020-03-17,145
Grand Est,2020-03-17,1820
Hauts-de-France,2020-03-17,612
Ile-de-France,2020-03-17,2177
Normandie,2020-03-17,174
Nouvelle-Aquitaine,2020-03-17,200
Occitanie,2020-03-17,311
Pays de la Loire,2020-03-17,126
Provence-Alpes-Côte d’Azur,2020-03-17,478
Total Métropole,2020-03-17,7652
Guadeloupe,2020-03-17,27
Saint-Barthélémy,2020-03-17,3
Saint-Martin,2020-03-17,3
Guyane,2020-03-17,11
Martinique,2020-03-17,19
Mayotte,2020-03-17,3
La Réunion,2020-03-17,12
Total Outre Mer,2020-03-17,78
Auvergne-Rhône-Alpes,2020-03-18,858
Bourgogne-Franche-Comté,2020-03-18,593
Bretagne,2020-03-18,273
Centre-Val de Loire,2020-03-18,128
Corse,2020-03-18,152
Grand Est,2020-03-18,2163
Hauts-de-France,2020-03-18,665
Ile-de-France,2020-03-18,2693
Normandie,2020-03-18,208
Nouvelle-Aquitaine,2020-03-18,237
Occitanie,2020-03-18,371
Pays de la Loire,2020-03-18,128
Provence-Alpes-Côte d’Azur,2020-03-18,574
Total Métropole,2020-03-18,9043
Guadeloupe,2020-03-18,33
Saint-Barthélémy,2020-03-18,3
Saint-Martin,2020-03-18,4
Guyane,2020-03-18,11
Martinique,2020-03-18,23
Mayotte,2020-03-18,3
La Réunion,2020-03-18,14
Total Outre Mer,2020-03-18,91
Auvergne-Rhône-Alpes,2020-03-19,1014
Bourgogne-Franche-Comté,2020-03-19,696
Bretagne,2020-03-19,297
Centre-Val de Loire,2020-03-19,157
Corse,2020-03-19,162
Grand Est,2020-03-19,2643
Hauts-de-France,2020-03-19,700
Ile-de-France,2020-03-19,3384
Normandie,2020-03-19,241
Nouvelle-Aquitaine,2020-03-19,280
Occitanie,2020-03-19,444
Pays de la Loire,2020-03-19,160
Provence-Alpes-Côte d’Azur,2020-03-19,693
Total Métropole,2020-03-19,10871
Guadeloupe,2020-03-19,45
Saint-Barthélémy,2020-03-19,3
Saint-Martin,2020-03-19,4
Guyane,2020-03-19,15
Martinique,2020-03-19,32
Mayotte,2020-03-19,6
La Réunion,2020-03-19,19
Total Outre Mer,2020-03-19,124
